"targetName","kernelName","language","answer","guess","isCorrect"
"haccmk-cuda","haccmk_kernel(int, int, const float *, const float *, const float *, const float *, float *, float *, float *, float, float, float)","CUDA","Compute","Compute",True
"bitpermute-cuda","bit_rev_permutation(long *, const long *, unsigned int)","CUDA","Bandwidth","Bandwidth",True
"bitpermute-cuda","bit_rev_permutation_z(long *, const long *, unsigned int)","CUDA","Bandwidth","Bandwidth",True
"heat-cuda","initial_value(unsigned int, double, double, double *)","CUDA","Bandwidth","Compute",False
"heat-cuda","solve(unsigned int, double, double, double, double, double, double *, double *)","CUDA","Bandwidth","Compute",False
"heat-cuda","zero(unsigned int, double *)","CUDA","Bandwidth","Compute",False
"crc64-cuda","crc64_kernel(unsigned long *, unsigned long *, const unsigned char *, const unsigned long *, const unsigned long *, unsigned long, int)","CUDA","Bandwidth","Compute",False
"backprop-cuda","kernel_layerforward(const float *, float *, float *, int)","CUDA","Bandwidth","Compute",False
"backprop-cuda","kernel_adjust_weights(const float *, float *, const float *, float *, int)","CUDA","Bandwidth","Compute",False
"haccmk-omp","__omp_offloading_10309_2f26c9a__Z6haccmkIfEvimiT_S0_S0_PKS0_S2_S2_S2_PS0_S3_S3__l35","OMP","Bandwidth","Compute",False
"lud-omp","__omp_offloading_10309_2fc4a44_main_l114","OMP","Bandwidth","Compute",False
"lud-omp","__omp_offloading_10309_2fc4a44_main_l156","OMP","Bandwidth","Compute",False
"lud-omp","__omp_offloading_10309_2fc4a44_main_l156","OMP","Bandwidth","Compute",False
"lud-omp","__omp_offloading_10309_2fc4a44_main_l114","OMP","Bandwidth","Compute",False
"lud-omp","__omp_offloading_10309_2fc4a44_main_l234","OMP","Bandwidth","Compute",False
"sc-cuda","StreamCompaction(int, int, int, float, int *, const int *, int *)","CUDA","Bandwidth","Compute",False
"eikonal-cuda","run_reduction(const bool *, bool *, const unsigned int *, unsigned int)","CUDA","Bandwidth","Compute",False
"eikonal-cuda","run_solver(const double *, const bool *, const double *, double *, bool *, const unsigned int *, int, int, int, int, unsigned int)","CUDA","Bandwidth","Compute",False
"eikonal-cuda","run_check_neighbor(const double *, const bool *, const double *, double *, bool *, const unsigned int *, int, int, int, unsigned int, unsigned int)","CUDA","Bandwidth","Compute",False
"interleave-cuda","add_kernel_interleaved(INTERLEAVED_T *, const INTERLEAVED_T *, unsigned int)","CUDA","Bandwidth","Compute",False
"interleave-cuda","add_kernel_non_interleaved(NON_INTERLEAVED_T *, const NON_INTERLEAVED_T *, unsigned int)","CUDA","Bandwidth","Bandwidth",True
"maxpool3d-cuda","maxpool3d(const float *, float *, int, int, int, int, int, int, int, int)","CUDA","Bandwidth","Bandwidth",True
"rfs-omp","__omp_offloading_10309_2fc582e_main_l136","OMP","Bandwidth","Compute",False
"rfs-omp","__omp_offloading_10309_2fc582e__Z9sumArraysiiPKfPfS0__l72","OMP","Bandwidth","Bandwidth",True
"rfs-omp","__omp_offloading_10309_2fc582e__Z8sumArrayfiPKfPf_l57","OMP","Bandwidth","Compute",False
"rfs-omp","__omp_offloading_10309_2fc582e__Z8sumArrayfiPKfPf_l57","OMP","Bandwidth","Compute",False
"fwt-omp","__omp_offloading_10309_2f08680__Z11modulateGPUPfPKfi_l198","OMP","Bandwidth","Bandwidth",True
"fwt-omp","__omp_offloading_10309_2f08680__Z11fwtBatchGPUPfii_l114","OMP","Bandwidth","Compute",False
"fwt-omp","__omp_offloading_10309_2f08680__Z11fwtBatchGPUPfii_l31","OMP","Bandwidth","Compute",False
"tonemapping-cuda","toneMapping(const float *, float *, float, float, float, float, unsigned int, unsigned int, unsigned int)","CUDA","Bandwidth","Compute",False
"nbody-cuda","update_particles(Particle *, float *, int, float)","CUDA","Bandwidth","Compute",False
"nbody-cuda","accelerate_particles(Particle *, int, float, float)","CUDA","Compute","Compute",True
"nbody-cuda","accumulate_energy(float *, int)","CUDA","Bandwidth","Bandwidth",True
"log2-cuda","compute_log(float *, const float *, int, int, int)","CUDA","Bandwidth","Compute",False
"iso2dfd-omp","__omp_offloading_10309_2fc34ee__Z15iso_2dfd_kernelPfPKfS1_fmm_l149","OMP","Bandwidth","Compute",False
"mandelbrot-omp","__omp_offloading_10309_2fc4aa3__ZN14MandelParallel8EvaluateEv_l182","OMP","Compute","Compute",True
"attention-omp","__omp_offloading_10309_2f043ab__Z16attention_devicePKfS0_S0_iii_l44","OMP","Bandwidth","Compute",False
"attention-omp","__omp_offloading_10309_2f043ab__Z16attention_devicePKfS0_S0_iii_l40","OMP","Bandwidth","Compute",False
"attention-omp","__omp_offloading_10309_2f043ab__Z16attention_devicePKfS0_S0_iii_l40","OMP","Bandwidth","Compute",False
"divergence-cuda","div_kernel(double *, double *, double *, double *, double *, int)","CUDA","Bandwidth","Compute",False
"ntt-cuda","intt_3_64k_modcrt(unsigned int *, const unsigned long *)","CUDA","Bandwidth","Compute",False
"phmm-cuda","pair_HMM_forward(int, int, const double (*)[41][4][2], const double (*)[4][2][3], const double (*)[41][4][2], const double (*)[2][4][2], const double (*)[2], double (*)[41][4][2])","CUDA","Bandwidth","Bandwidth",True
"layout-cuda","void SoAKernel<4096>(const ApplesOnTrees *, int *)","CUDA","Bandwidth","Compute",False
"layout-cuda","void AoSKernel<4096>(const AppleTree *, int *)","CUDA","Bandwidth","Compute",False
"layout-cuda","void AoSKernel<4096>(const AppleTree *, int *)","CUDA","Bandwidth","Compute",False
"cooling-cuda","cool_kernel(int, double, const double *, double *, int)","CUDA","Bandwidth","Compute",False
"rsc-cuda","RANSAC_kernel_block(const float *, const flowvector *, int, int, int, float, int *, int *, int *)","CUDA","Compute","Compute",True
"dslash-cuda","make_back(const dsu3_matrix *, const dsu3_matrix *, const unsigned long *, const unsigned long *, dsu3_matrix *, dsu3_matrix *, int)","CUDA","Bandwidth","Compute",False
"dslash-cuda","dslash(const dsu3_matrix *, const dsu3_matrix *, const dsu3_matrix *, const dsu3_matrix *, const dsu3_vector *, dsu3_vector *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, int)","CUDA","Bandwidth","Compute",False
"bwt-omp","__omp_offloading_10309_2f0473b__Z14generate_tablePiii_l8","OMP","Bandwidth","Compute",False
"bwt-omp","__omp_offloading_10309_2f0473b__Z20reconstruct_sequencePKiPKcPci_l43","OMP","Bandwidth","Bandwidth",True
"bwt-omp","__omp_offloading_10309_2f0473b__Z17bitonic_sort_stepPiiiiPKci_l26","OMP","Bandwidth","Compute",False
"concurrentKernels-cuda","sum(long *, int)","CUDA","Bandwidth","Bandwidth",True
"deredundancy-cuda","kernel_updateRepresentative(int *, int *, int)","CUDA","Bandwidth","Compute",False
"deredundancy-cuda","kernel_mergeIndex(const long *, const unsigned short *, unsigned short *, const long *, int)","CUDA","Bandwidth","Bandwidth",True
"deredundancy-cuda","kernel_makeTable(const long *, const unsigned short *, const unsigned short *, const long *, unsigned short *, int)","CUDA","Bandwidth","Bandwidth",True
"deredundancy-cuda","kernel_baseToNumber(char *, long)","CUDA","Bandwidth","Bandwidth",True
"deredundancy-cuda","kernel_createIndex7(const char *, const int *, const long *, unsigned short *, unsigned short *, long *, int *, int)","CUDA","Bandwidth","Bandwidth",True
"deredundancy-cuda","kernel_filter(float, int, const int *, const long *, const unsigned short *, const unsigned short *, const long *, const int *, int *, const unsigned short *, int)","CUDA","Bandwidth","Bandwidth",True
"minkowski-omp","__omp_offloading_10309_2fc51a2_main_l73","OMP","Compute","Compute",True
"nbody-omp","__omp_offloading_10309_2fc5340__ZN11GSimulation5StartEv_l169","OMP","Bandwidth","Compute",False
"nbody-omp","__omp_offloading_10309_2fc5340__ZN11GSimulation5StartEv_l115","OMP","Compute","Compute",True
"nbody-omp","__omp_offloading_10309_2fc5340__ZN11GSimulation5StartEv_l115","OMP","Compute","Compute",True
"multimaterial-omp","__omp_offloading_10309_2fc52b7__Z20compact_cell_centric9full_data12compact_dataiPPc_l148","OMP","Bandwidth","Compute",False
"multimaterial-omp","__omp_offloading_10309_2fc52b7__Z20compact_cell_centric9full_data12compact_dataiPPc_l212","OMP","Bandwidth","Compute",False
"multimaterial-omp","__omp_offloading_10309_2fc52b7__Z20compact_cell_centric9full_data12compact_dataiPPc_l212","OMP","Bandwidth","Compute",False
"multimaterial-omp","__omp_offloading_10309_2fc52b7__Z20compact_cell_centric9full_data12compact_dataiPPc_l212","OMP","Bandwidth","Compute",False
"multimaterial-omp","__omp_offloading_10309_2fc52b7__Z20compact_cell_centric9full_data12compact_dataiPPc_l199","OMP","Bandwidth","Compute",False
"accuracy-omp","__omp_offloading_10309_2f04138_main_l57","OMP","Bandwidth","Bandwidth",True
"srad-omp","__omp_offloading_10309_2fc5ddb_main_l403","OMP","Bandwidth","Compute",False
"srad-omp","__omp_offloading_10309_2fc5ddb_main_l403","OMP","Bandwidth","Compute",False
"srad-omp","__omp_offloading_10309_2fc5ddb_main_l403","OMP","Bandwidth","Compute",False
"srad-omp","__omp_offloading_10309_2fc5ddb_main_l403","OMP","Bandwidth","Compute",False
"srad-omp","__omp_offloading_10309_2fc5ddb_main_l202","OMP","Bandwidth","Compute",False
"srad-omp","__omp_offloading_10309_2fc5ddb_main_l403","OMP","Bandwidth","Compute",False
"mixbench-omp","__omp_offloading_10309_2fc51ce__Z14benchmark_funcPfiii_l20","OMP","Bandwidth","Bandwidth",True
"fdtd3d-cuda","finite_difference(float *, const float *, const float *, int, int, int, int)","CUDA","Bandwidth","Bandwidth",True
"concat-omp","__omp_offloading_10309_2f04b71__Z6concatIfEvPKT_S2_PS0_iiii_l16","OMP","Bandwidth","Bandwidth",True
"sptrsv-cuda","sptrsv_mix(const int *, const int *, const double *, int *, int, const double *, double *, const int *, int)","CUDA","Bandwidth","Bandwidth",True
"split-omp","__omp_offloading_10309_2fc5d59_main_l140","OMP","Bandwidth","Bandwidth",True
"chacha20-cuda","test_keystreams(const char *, const char *, const char *, const unsigned char *, unsigned char *, unsigned char *, unsigned char *, unsigned char *, int, int, int)","CUDA","Bandwidth","Bandwidth",True
"phmm-omp","__omp_offloading_10309_2fc557b__Z16pair_HMM_forwardiiiiPA41_A4_A2_KdPA4_A2_A3_S_S3_PA2_S1_PS0_PA41_A4_A2_d_l20","OMP","Bandwidth","Bandwidth",True
"vote-cuda","VoteAnyKernel3(bool *, int, int)","CUDA","Bandwidth","Bandwidth",True
"deredundancy-cuda","kernel_magic(float, const int *, const int *, int *, int, int)","CUDA","Bandwidth","Bandwidth",True
"deredundancy-cuda","kernel_compressData(const int *, const long *, const char *, unsigned int *, int *, int)","CUDA","Bandwidth","Bandwidth",True
"deredundancy-cuda","kernel_cleanTable(const long *, const unsigned short *, const unsigned short *, const long *, unsigned short *, int)","CUDA","Bandwidth","Bandwidth",True
"deredundancy-cuda","kernel_createCutoff(float, int, const int *, long *, int *, int)","CUDA","Bandwidth","Compute",False
"colorwheel-cuda","color(unsigned char *, int, int, float, float)","CUDA","Bandwidth","Bandwidth",True
"atomicAggregate-cuda","k(int *, int)","CUDA","Bandwidth","Bandwidth",True
"matrixT-cuda","copy(float *, const float *, int, int)","CUDA","Bandwidth","Bandwidth",True
"matrixT-cuda","copySharedMem(float *, const float *, int, int)","CUDA","Bandwidth","Bandwidth",True
"matrixT-cuda","transposeFineGrained(float *, const float *, int, int)","CUDA","Bandwidth","Bandwidth",True
"matrixT-cuda","transposeNaive(float *, const float *, int, int)","CUDA","Bandwidth","Bandwidth",True
"matrixT-cuda","transposeCoalesced(float *, const float *, int, int)","CUDA","Bandwidth","Bandwidth",True
"matrixT-cuda","transposeCoarseGrained(float *, const float *, int, int)","CUDA","Bandwidth","Bandwidth",True
"matrixT-cuda","transposeDiagonal(float *, const float *, int, int)","CUDA","Bandwidth","Bandwidth",True
"matrixT-cuda","transposeNoBankConflicts(float *, const float *, int, int)","CUDA","Bandwidth","Bandwidth",True
"simpleMultiDevice-cuda","reduceKernel(float *, const float *, int)","CUDA","Bandwidth","Compute",False
"ising-omp","__omp_offloading_10309_2fc34dd__Z14update_latticeILb0EEvPaS0_Pffxx_l54","OMP","Bandwidth","Bandwidth",True
"ising-omp","__omp_offloading_10309_2fc34dd__Z14update_latticeILb1EEvPaS0_Pffxx_l54","OMP","Bandwidth","Bandwidth",True
"ising-omp","__omp_offloading_10309_2fc34dd__Z10init_spinsPaPKfxx_l38","OMP","Bandwidth","Bandwidth",True
"f16max-cuda","void hmax<__half2>(const T1 *, const T1 *, T1 *, unsigned long)","CUDA","Bandwidth","Compute",False
"lombscargle-cuda","lombscargle(int, int, const float *, const float *, const float *, float *, float)","CUDA","Compute","Compute",True
"gd-omp","__omp_offloading_10309_2f20c71_main_l119","OMP","Bandwidth","Compute",False
"gd-omp","__omp_offloading_10309_2f20c71_main_l71","OMP","Bandwidth","Compute",False
"gd-omp","__omp_offloading_10309_2f20c71_main_l119","OMP","Bandwidth","Compute",False
"lud-cuda","lud_diagonal(float *, int, int)","CUDA","Bandwidth","Compute",False
"lud-cuda","lud_internal(float *, int, int)","CUDA","Bandwidth","Compute",False
"lud-cuda","lud_perimeter(float *, int, int)","CUDA","Bandwidth","Bandwidth",True
"rodrigues-cuda","rotate(int, float, float3, float3 *)","CUDA","Bandwidth","Compute",False
"rodrigues-cuda","rotate2(int, float, float3, float4 *)","CUDA","Bandwidth","Compute",False
